arm	config	n_workers	run	pytest_s	wall_s	passed	failed	result
vm8-pgdef	serial	0	1	89.65	94	3477	0	PASS
vm8-pgdef	serial	0	2	90.09	94	3477	0	PASS
vm8-pgdef	serial	0	3	90.08	95	3477	0	PASS
vm8-pgdef	n1	1	1	94.18	97	3477	0	PASS
vm8-pgdef	n1	1	2	93.93	97	3477	0	PASS
vm8-pgdef	n1	1	3	94.31	98	3477	0	PASS
vm8-pgdef	n2	2	1	53.80	57	3477	0	PASS
vm8-pgdef	n2	2	2	53.94	57	3477	0	PASS
vm8-pgdef	n2	2	3	53.90	57	3477	0	PASS
vm8-pgdef	n4	4	1	35.10	38	3477	0	PASS
vm8-pgdef	n4	4	2	35.14	38	3477	0	PASS
vm8-pgdef	n4	4	3	35.64	39	3477	0	PASS
vm8-pgdef	n6	6	1	29.09	32	3477	0	PASS
vm8-pgdef	n6	6	2	29.39	33	3477	0	PASS
vm8-pgdef	n6	6	3	29.16	32	3477	0	PASS
vm8-pgdef	n8	8	1	26.09	29	3477	0	PASS
vm8-pgdef	n8	8	2	27.66	30	3477	0	PASS
vm8-pgdef	n8	8	3	25.79	29	3477	0	PASS
vm8-pgdef	n10	10	1	25.15	29	3477	0	PASS
vm8-pgdef	n10	10	2	25.71	29	3477	0	PASS
vm8-pgdef	n10	10	3	25.86	29	3477	0	PASS
vm8-pgdef	n12	12	1	26.78	30	3477	0	PASS
vm8-pgdef	n12	12	2	26.52	29	3477	0	PASS
vm8-pgdef	n12	12	3	26.07	29	3477	0	PASS
vm8-pgdef	n14	14	1	25.53	28	3477	0	PASS
vm8-pgdef	n14	14	2	25.63	28	3477	0	PASS
vm8-pgdef	n14	14	3	25.56	28	3477	0	PASS
vm8-pgdef	n16	16	1	27.96	31	3477	0	PASS
vm8-pgdef	n16	16	2	27.16	30	3477	0	PASS
vm8-pgdef	n16	16	3	26.91	30	3477	0	PASS
vm8-pgdef	n20	20	1	28.49	31	3477	0	PASS
vm8-pgdef	n20	20	2	28.43	32	3477	0	PASS
vm8-pgdef	n20	20	3	28.09	31	3477	0	PASS
